Name,Gender,Personality,Specie,Birthday,Catchphrase,Skill,Goal,Coffee,Milk,Sugar,Style,Favorite Song,pngurl,search
Cube,Male,Lazy,Penguin,January 29,d-d-dude,Staying awake,Astronaut,Blend,A little bit of milk,One spoonful of sugar,Cute,K.K. Technopop,"https://vignette.wikia.nocookie.net/animalcrossing/images/1/10/Cube_NH.png/revision/latest?cb=20200226233057""",cube
Curlos,Male,Smug,Sheep,May 8,shearly,Calculating Tips,Actor,Kilamanjaro,Lots of milk,Three spoonfuls of sugar,Rock 'n' roll,K.K. Samba,"https://vignette.wikia.nocookie.net/animalcrossing/images/3/37/Curlos_NH.png/revision/latest?cb=20200317165801""",curlos
Curly,Male,Jock,Pig,July 26,nyoink,Clearing my plate,Explorer,Blue Mountain,A little bit of milk,One spoonful of sugar,Basic,K.K. Reggae,"https://vignette.wikia.nocookie.net/animalcrossing/images/9/9d/Curly.png/revision/latest?cb=20130521000319""",curly
Curt,Male,Cranky,Bear,July 1,fuzzball,Whistling,Carpenter,Mocha,No Milk,No Sugar,Iconic,K.K. Lament,"https://vignette.wikia.nocookie.net/animalcrossing/images/f/f1/Nhcurt.png/revision/latest?cb=20200223062124""",curt
Cyd,Male,Cranky,Elephant,June 9,rockin',Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,K.K. Metal,"https://vignette.wikia.nocookie.net/animalcrossing/images/5/5d/Cyd_NH.png/revision/latest?cb=20200319212643""",cyd
Cyrano,Male,Cranky,Anteater,March 9,ah-CHOO,Whistling,Journalist,Kilimanjaro,Just a little bit of milk,One spoonful of sugar,Iconic,K.K. Faire,"https://vignette.wikia.nocookie.net/animalcrossing/images/e/e1/Cyrano.png/revision/latest?cb=20130718135136""",cyrano
Daisy,Female,Normal,Dog,November 16,bow-WOW,Making budgets,Archaeologist,Blue Mountain,Lots of milk,Three spoonfuls of sugar,Basic,K.K. Soul,"https://vignette.wikia.nocookie.net/animalcrossing/images/3/36/Daisy_NewLeaf_Official.png/revision/latest?cb=20130721182429""",daisy
Deena,Female,Normal,Duck,June 27,woowoo,Blowing bubbles,Illustrator,Kilimanjaro,Just a little bit of milk,Initial phrase sugar,Modern,Mr. K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/f/fd/Deena_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708033218""",deena
Deirdre,Female,Sisterly,Deer,May 4,whatevs,Tiptoeing,Journalist,Blue Mountain,No Milk,No Sugar,Historical,K.K. Cruisin',"https://vignette.wikia.nocookie.net/animalcrossing/images/2/21/Deirdre_newest.png/revision/latest?cb=20170102164402""",deirdre
Del,Male,Cranky,Alligator,May 27,gronk,Subsistence living,Firefighter,Blend,No Milk,No Sugar,Sporty,K.K. March,"https://vignette.wikia.nocookie.net/animalcrossing/images/7/7f/Del_NewLeaf_Official.png/revision/latest?cb=20130721182619""",del
Deli,Male,Lazy,Monkey,May 24,monch,Jumping rope,Musician,Blue Mountain,Lots of milk,Three spoonfuls of sugar,Iconic,K.K. Marathon,"https://vignette.wikia.nocookie.net/animalcrossing/images/a/a1/Deli_HD.png/revision/latest?cb=20180518164618""",deli
Derwin,Male,Lazy,Duck,May 25,derrrrr,Brainteasers,Doctor,Blend,No Milk,No Sugar,Official,The K. Funk,"https://vignette.wikia.nocookie.net/animalcrossing/images/f/fd/Derwin_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708033351""",derwin
Diana,Female,Snooty,Deer,January 4,no doy,Playing poker,Dermatologist,Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar,Iconic,Stale Cupcakes,"https://vignette.wikia.nocookie.net/animalcrossing/images/8/84/31a901eed448f9ee30fc1af858e29be5_clipped_rev_2.png/revision/latest?cb=20161008150800""",diana
Diva,Female,Sisterly,Frog,October 2,ya know,Home Repair,Hair Stylist,Kilimanjaro,No Milk,No Sugar,Ornate,K.K. Bazaar,"https://vignette.wikia.nocookie.net/animalcrossing/images/9/9e/Diva_HD.png/revision/latest?cb=20180609194821""",diva
Dizzy,Male,Lazy,Elephant,January 14,woo-oo,Chugging milk,Journalist,Blue Mountain,Skill Chugging milk,Three spoonfuls of sugar,Basic,K.K. Gumbo,"https://vignette.wikia.nocookie.net/animalcrossing/images/9/9c/Dizzy_NewLeaf_Official.png/revision/latest?cb=20130721182759""",dizzy
Dobie,Male,Cranky,Wolf,February 17,ohmmm,Speed reading,Writer,Mocha,A little bit of milk,1 spoonful of sugar,Official,K.K. Lament,"https://vignette.wikia.nocookie.net/animalcrossing/images/f/fd/NH-icon-Dobie_00.png/revision/latest?cb=20200224181928""",dobie
Doc,Male,Lazy,Rabbit,March 16,ol' bunny,Typing,Programmer,Kilimanjaro,A little bit of milk,One spoonful of sugar,Official,Pondering,"https://vignette.wikia.nocookie.net/animalcrossing/images/c/cd/Doc_NH.png/revision/latest?cb=20200322125229""",doc
Dom,Male,Jock,Sheep,March 18,indeedaroo,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,K.K. Country,"https://vignette.wikia.nocookie.net/animalcrossing/images/6/6c/F18777BE-5464-4671-A13C-261ADBE5448F.png/revision/latest?cb=20200420225123""",dom
Dora,Female,Normal,Mouse,February 18,squeaky,Dusting,Translator,Kilimanjaro,Lots of milk,Three spoonfuls of sugar,Iconic,Only Me,"https://vignette.wikia.nocookie.net/animalcrossing/images/a/a0/Dora_NewLeaf_Official.png/revision/latest?cb=20130818040250""",dora
Dotty,Female,Peppy,Rabbit,March 14,wee one,Home repair,Tennis player,Blue Mountain,Lots of milk,Three spoonfuls of sugar,Modern,K.K. Technopop,"https://vignette.wikia.nocookie.net/animalcrossing/images/c/cc/Dotty_NH.png/revision/latest?cb=20200321142147""",dotty
Drago,Male,Lazy,Alligator,February 12,burrrn,Blowing bubbles,Pilot,Kilimanjaro,Just a little bit of milk,One spoonful of sugar,Iconic,Imperial K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/6/69/Drago.png/revision/latest?cb=20161211213032""",drago
Drake,Male,Lazy,Duck,June 25,quacko,Rock paper scissors,Cartoonist,Blend,No Milk,No Sugar,Modern,K.K. Blues,"https://vignette.wikia.nocookie.net/animalcrossing/images/d/d9/Drake_NewLeaf_Official.png/revision/latest?cb=20130818040432""",drake
Drift,Male,Jock,Frog,October 9,brah,Shadow puppetry,Tycoon,Blue Mountain,The regular amount of milk,Two spoonfuls of sugar,Flashy,K.K. Country,"https://vignette.wikia.nocookie.net/animalcrossing/images/2/28/Drift_NewLeaf_Official.png/revision/latest?cb=20130721183255""",drift
Ed,Male,Smug,Horse,September 16,greenhorn,Juggling,Singer,Blue Mountain,The regular amount of milk,Two spoonfuls of sugar,Flashy,K.K. Ballad,"https://vignette.wikia.nocookie.net/animalcrossing/images/c/ce/Ed_NewHorizons.png/revision/latest?cb=20200408120037""",ed
Egbert,Male,Lazy,Chicken,October 14,doodle-duh,Cramming for tests,Astronaut,Mocha,Just a little bit of milk,One spoonful of sugar,Historical,K.K. Technopop,"https://vignette.wikia.nocookie.net/animalcrossing/images/a/a8/Egbert_HD.png/revision/latest?cb=20180404115854""",egbert
Elise,Female,Snooty,Monkey,March 21,puh-lease,Mental Math,Archaeologist,Blend,No milk,No sugar,Official,Neapolitan,"https://vignette.wikia.nocookie.net/animalcrossing/images/9/9c/Elise_NewLeaf_Official.png/revision/latest?cb=20130721183814""",elise
Ellie,Female,Normal,Elephant,May 12,li'l one,Calculating tips,Dentist,Mocha,The regular amount of milk,2 spoonfuls of sugar,,Cafe K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/8/8d/Ellie_HD.png/revision/latest?cb=20180518162536""",ellie
Elmer,Male,Lazy,Horse,October 5,tenderfoot,Playing old maid,Police officer,Blend,Lots of milk,Three spoonfuls of sugar,Basic,K.K. Waltz,"https://vignette.wikia.nocookie.net/animalcrossing/images/1/15/Elmer_NewLeaf_Official.png/revision/latest?cb=20130721184056""",elmer
Eloise,Female,Snooty,Elephant,December 8,tooooot,Memorizing stuff,Painter,Blue Mountain,Lots of milk,Three spoonfuls of sugar,Official,K.K. Jazz,"https://vignette.wikia.nocookie.net/animalcrossing/images/7/7d/Eloise_NewLeaf_Official.png/revision/latest?cb=20130721184250""",eloise
Elvis,Male,Cranky,Lion,July 23,unh-hunh,Competitive eating,Tycoon,Blue Mountain,No milk,No sugar,Ornate,K.K. Casbah,"https://vignette.wikia.nocookie.net/animalcrossing/images/b/ba/Elvis_NewLeaf_OfficialRender.png/revision/latest?cb=20130709064606""",elvis
Erik,Male,Lazy,Deer,July 27,chow down,Playing horseshoes,Carpenter,Mocha,Lots of milk,Three spoonfuls of sugar,Basic,Neapolitan,"https://vignette.wikia.nocookie.net/animalcrossing/images/a/a9/Erik_HD.png/revision/latest?cb=20180404114430""",erik
Eunice,Female,Normal,Sheep,April 3,lambchop,Dusting,Hair stylist,Blue Mountain,A little bit of milk,One spoonful of sugar,Basic,K.K. Waltz,"https://vignette.wikia.nocookie.net/animalcrossing/images/9/97/Eunice_NH.png/revision/latest?cb=20200403102308""",eunice
Eugene,Male,Smug,Koala,October 26,yeah buddy,Rapping,Guitarist,Mocha,No milk,No sugar,Rock'n'roll,K.K. Cruisin',"https://vignette.wikia.nocookie.net/animalcrossing/images/9/93/Eugene_HHD.png/revision/latest?cb=20160624003222""",eugene
Fang,Male,Cranky,Wolf,December 18,cha-chomp,Mental Math,Hair stylist,Blend,Lots of milk,Three spoonfuls of sugar,Official,K.K. Calypso,"https://vignette.wikia.nocookie.net/animalcrossing/images/7/74/NH-icon-Fang_01.png/revision/latest?cb=20200224181958""",fang
Fauna,Female,Normal,Deer,March 26,dearie,Mental math,Teacher,Mocha,Lots of milk,Three spoonfuls of sugar,Basic,K.K. Stroll,"https://vignette.wikia.nocookie.net/animalcrossing/images/7/72/Fauna.png/revision/latest?cb=20161008150856""",fauna
Felicity,Female,Peppy,Cat,March 30,mimimi,Rock paper scissors,Swimmer,Blue Mountain,The regular amount of milk,Two spoonfuls of sugar,Cute,K.K. Lullaby,"https://vignette.wikia.nocookie.net/animalcrossing/images/c/cb/Felicity_NewLeaf_Official.png/revision/latest?cb=20130721184858""",felicity
Filbert,Male,Lazy,Squirrel,June 3,bucko,Vaulting,Pilot,Blue Mountain,Lots of milk,Three spoonfuls of sugar,Basic,Two Days Ago,"https://vignette.wikia.nocookie.net/animalcrossing/images/8/81/Filbert_NH.png/revision/latest?cb=20200309020807""",filbert
Flip,Male,Jock,Monkey,November 21,rerack,Climbing trees,Pro golfer,Kilimanjaro,Just a little bit of milk,One spoonful of sugar,Sporty,K.K. Rally,"https://vignette.wikia.nocookie.net/animalcrossing/images/6/66/Flip_HD.png/revision/latest?cb=20181009152037""",flip
Flo,Female,Sisterly,Penguin,September 2,cha,Limboing,Marathon Runner,Blend,Just a little bit of milk,One spoonful of sugar,Ornate,Space K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/7/70/Flo_HD.png/revision/latest?cb=20180518165227""",flo
Flora,Female,Peppy,Ostrich,February 9,pinky,Staying awake,Gymnast,Mocha,The regular amount of milk,Two spoonfuls of sugar,Modern,K.K. Flamenco,"https://vignette.wikia.nocookie.net/animalcrossing/images/8/8e/Flora_NH.png/revision/latest?cb=20200308184848""",flora
Flurry,Female,Normal,Hamster,January 30,powderpuff,Peeling apples,Superhero,Mocha,No Milk,No Sugar,Iconic,Hypno K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/3/30/Flurry_HD.png/revision/latest?cb=20180405153933""",flurry
Francine,Female,Snooty,Rabbit,January 22,karat,Pretending to sleep,Designer,Kilimanjaro,A little bit of milk,One spoonful of sugar,Ornate,I Love You,"https://vignette.wikia.nocookie.net/animalcrossing/images/3/34/Francine_NH.png/revision/latest?cb=20200321123138""",francine
Frank,Male,Cranky,Eagle,July 30,crushy,Pretending to sleep,Teacher,Kilimanjaro,Just a little bit of milk,One spoonful of sugar,Rock 'n' roll,K.K. Casbah,"https://vignette.wikia.nocookie.net/animalcrossing/images/a/a7/Frank_NH_cropped.png/revision/latest?cb=20200308183342""",frank
Freckles,Female,Peppy,Duck,February 19,ducky,Staying awake,Pharmacist,Mocha,The regular amount of milk,Two spoonfuls of sugar,Flashy,K.K. Song,"https://vignette.wikia.nocookie.net/animalcrossing/images/8/8b/Freckles_NewLeaf_Official.png/revision/latest?cb=20130721190141""",freckles
Freya,Female,Snooty,Wolf,December 14,uff da,Peeling Apples,Judge,Mocha,A little bit of milk,One spoonful of sugar,Rock 'n' roll,Rockin' K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/5/50/NH-icon-Freya_00.png/revision/latest?cb=20200224182111""",freya
Friga,Female,Snooty,Penguin,October 16,brrmph,Board games,Drummer,Blend,A little bit of milk,One spoonful of sugar,Ornate,K.K. Tango,"https://vignette.wikia.nocookie.net/animalcrossing/images/8/8c/Friga_NH.png/revision/latest?cb=20200226232456""",friga
Frita,Female,Sisterly,Sheep,July 16,oh ewe,Chopping Vegetables,Chef,Mocha,No milk,No sugar,Flashy,K.K. Rockabilly,"https://vignette.wikia.nocookie.net/animalcrossing/images/d/d5/Frita_NH.png/revision/latest?cb=20200321205518""",frita
Frobert,Male,Jock,Frog,February 8,fribbit,Eating quickly,Artist,Blue Mountain,The regular amount of milk,Two spoonfuls of sugar,Sporty,My Place,"https://vignette.wikia.nocookie.net/animalcrossing/images/f/fb/Frobert_NewLeaf_Official.png/revision/latest?cb=20130721190427""",frobert
Fuchsia,Female,Sisterly,Deer,September 19,precious,Home Repair,Makeup Artist,Blue Mountain,No Milk,No Sugar,Rock 'n' roll,K.K. Rock,"https://vignette.wikia.nocookie.net/animalcrossing/images/4/4d/Fuchsia_HD.png/revision/latest?cb=20180518161612""",fuchsia
Gabi,Female,Peppy,Rabbit,December 16,honeybun,Eating quickly,Pianist,Blue Mountain,Lots of milk,Three spoonfuls of sugar,Ornate,K.K. Love Song,"https://vignette.wikia.nocookie.net/animalcrossing/images/8/86/Gabi_NH.png/revision/latest?cb=20200322125311""",gabi
Gala,Female,Normal,Pig,March 5,snortie,Rock-Paper-Scissors,Violinist,Mocha,No milk,No sugar,Cute,,"https://vignette.wikia.nocookie.net/animalcrossing/images/f/fb/Gala_NewLeaf_Official.png/revision/latest?cb=20130721190601""",gala
Gaston,Male,Cranky,Rabbit,October 28,mon chou,Ventriloquism,Tycoon,Blue Mountain,Lots of milk,Three spoonfuls of sugar,Flashy,K.K. Dirge,"https://vignette.wikia.nocookie.net/animalcrossing/images/5/59/Gaston_NH.png/revision/latest?cb=20200321205410""",gaston
Gayle,Female,Normal,Alligator,May 17,snacky,Hula dancing,Gymnast,Kilimanjaro,Just a little bit of milk,One spoonful of sugar,Cute,Bubblegum K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/7/7a/Gayle_HD.png/revision/latest?cb=20180518013116""",gayle
Genji,Male,Jock,Rabbit,January 21,mochi,Subsistence living,Politician,Blue Mountain,Lots of milk,Three spoonfuls of sugar,Iconic,King K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/6/67/Genji_NH.png/revision/latest?cb=20200322125429""",genji
Gigi,Female,Snooty,Frog,August 11,ribette,Subsistence Living,President,Kilimanjaro,No Milk,No Sugar,Ornate,Only Me,"https://vignette.wikia.nocookie.net/animalcrossing/images/d/dc/Gigi_NewLeaf_Official.png/revision/latest?cb=20130721190743""",gigi
Gladys,Female,Normal,Ostrich,January 15,stretch,Calligraphy,Architect,Mocha,The regular amount of milk,Two spoonfuls of sugar,Iconic,K.K. Folk,"https://vignette.wikia.nocookie.net/animalcrossing/images/3/35/Gladys_NH.png/revision/latest?cb=20200317170137""",gladys
Gloria,Female,Snooty,Duck,August 12,quacker,Boardgames,Stylist,Blend,No Milk,No Sugar,Ornate,K.K. Milonga,"https://vignette.wikia.nocookie.net/animalcrossing/images/8/80/Gloria_NewLeaf_Official.png/revision/latest?cb=20130721191051""",gloria
Goldie,Female,Normal,Dog,December 27,woof,Dusting,Dentist,Blue Mountain,Lots of milk,Three spoonfuls of sugar,Basic,K.K. Bossa,"https://vignette.wikia.nocookie.net/animalcrossing/images/8/84/Goldie_NewLeaf_Official.png/revision/latest?cb=20130721191242""",goldie
Gonzo,Male,Cranky,Koala,October 13,mate,Mental math,Mayor,Kilimanjaro,Lots of milk,Three spoonfuls of sugar,,K.K. D & B,"https://vignette.wikia.nocookie.net/animalcrossing/images/7/7f/Gonzo_HD.png/revision/latest?cb=20180518164207""",gonzo
Goose,Male,Jock,Chicken,October 4,buh-kay,Waking up early,Soccer player,Blend,Lots of milk,Three spoonfuls of sugar,Basic,K.K. Country,"https://vignette.wikia.nocookie.net/animalcrossing/images/9/99/-Goose_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708020630""",goose
Graham,Male,Smug,Hamster,June 20,indeed,Computing,Writer,Blend,The regular amount of milk,Two spoonfuls of sugar,Historical,Bubblegum K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/5/54/Graham_HHD.png/revision/latest?cb=20161013033113""",graham
Greta,Female,Snooty,Mouse,September 5,yelp,Playing horseshoes,Florist,Mocha,No milk,No sugar,Iconic,K.K. Jongara,"https://vignette.wikia.nocookie.net/animalcrossing/images/b/bd/Greta_NH.png/revision/latest?cb=20200308192554""",greta
Grizzly,Male,Cranky,Bear,July 31,grrr...,Brainteasers,Photographer,Blend,The regular amount of milk,Two spoonfuls of sugar,Basic,K.K. Condor,"https://vignette.wikia.nocookie.net/animalcrossing/images/4/46/Grizzly_NewHorizons.png/revision/latest?cb=20200407222650""",grizzly
Groucho,Male,Cranky,Bear,October 23,grumble,Competitive eating,Pro wrestler,Blend,The regular amount of milk,Two spoonfuls of sugar,Historical,K.K. Metal,"https://vignette.wikia.nocookie.net/animalcrossing/images/0/01/Groucho_NewHorizons.png/revision/latest?cb=20200408174427""",groucho
Gruff,Male,Cranky,Goat,August 29,bleh eh eh,Staying up late,Musician,Blend,Just a little bit of milk,One spoonful of sugar,Historical,K.K. Rockabilly,"https://vignette.wikia.nocookie.net/animalcrossing/images/e/e5/Gruff_NewLeaf_Official.png/revision/latest?cb=20130721191414""",gruff
Gwen,Female,Snooty,Penguin,January 23,h-h-hon,Skimming books,CEO,Blend,A little bit of milk,One spoonful of sugar,Ornate,Cafe K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/c/cd/Gwen_NewLeaf_Official.png/revision/latest?cb=20130721191552""",gwen
Hamlet,Male,Jock,Hamster,May 30,hammie,Limboing,Soccer player,Blend,The regular amount of milk,Two spoonfuls of sugar,Basic,K.K. Reggae,"https://vignette.wikia.nocookie.net/animalcrossing/images/3/35/Nhhamlet.png/revision/latest?cb=20200223062646""",hamlet
Hamphrey,Male,Cranky,Hamster,February 25,snort,Eating quickly,Fisherman,Blue Mountain,Just a little bit of milk,One spoonful of sugar,Historical,K.K. Rally,"https://vignette.wikia.nocookie.net/animalcrossing/images/a/ab/Hamphrey_HHD.png/revision/latest?cb=20161013032935""",hamphrey
Hans,Male,Smug,Gorilla,December 5,groovy,Spoon bending,Painter,Blue Mountain,No Milk,No Sugar,Official,K.K. D & B,"https://vignette.wikia.nocookie.net/animalcrossing/images/e/e6/Hans_HD.png/revision/latest?cb=20180518163420""",hans
Harry,Male,Cranky,Hippo,January 7,beach bum,Tongue twisters,Fisherman,Mocha,No Milk,No Sugar,Historical,K.K. Calypso,"https://vignette.wikia.nocookie.net/animalcrossing/images/3/36/Harry_NewLeaf_Official.png/revision/latest?cb=20130721191825""",harry
Hazel,Female,Sisterly,Squirrel,August 30,uni-wow,Making Budgets,Dentist,Blend,No milk,No sugar,Iconic,K.K. Disco,"https://vignette.wikia.nocookie.net/animalcrossing/images/1/17/Hazel_NH.png/revision/latest?cb=20200309012107""",hazel
Henry,Male,Smug,Frog,September 21,snoozit,Oversleeping,Writer,Mocha,Just a little bit of milk,One spoonful of sugar,Basic,K.K. Soul,"https://vignette.wikia.nocookie.net/animalcrossing/images/d/d1/Henry_HD.png/revision/latest?cb=20180518163033""",henry
Hippeux,Male,Smug,Hippo,October 15,natch,Juggling,Actor,Kilimanjaro,Lots of milk,Three spoonfuls of sugar,Ornate,K.K. Moody,"https://vignette.wikia.nocookie.net/animalcrossing/images/1/15/Hippeux_HD.png/revision/latest?cb=20180518163545""",hippeux
Hopkins,Male,Lazy,Rabbit,March 11,thumper,Oversleeping,Chef,Blend,No Milk,No Sugar,Sporty,I Love You,"https://vignette.wikia.nocookie.net/animalcrossing/images/c/c1/Hopkins_NH.png/revision/latest?cb=20200321142217""",hopkins
Hopper,Male,Cranky,Penguin,April 6,slushie,Mental math,Firefighter,Mocha,Lots of milk,Three spoonfuls of sugar,Rock 'n' roll,Lucky K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/c/cb/Hopper_NH.png/revision/latest?cb=20200226233421""",hopper
Hornsby,Male,Lazy,Rhino,March 20,schnozzle,Bunting/Comedy,Artist,Blend,A little bit of milk,1 spoonful of sugar,,Aloha K.K. (AC)K.K. Lament (NL)]],"https://vignette.wikia.nocookie.net/animalcrossing/images/9/95/Hornsby_NH.png/revision/latest?cb=20200312014627""",hornsby
Huck,Male,Smug,Frog,July 9,hopper,Clearing my plate,Architect,Mocha,a little bit of milk,1 spoonful of sugar,,I Love You,"https://vignette.wikia.nocookie.net/animalcrossing/images/5/56/Huck_HD.png/revision/latest?cb=20180518162921""",huck
Hugh,Male,Lazy,Pig,December 30,snortle,Eating quickly,Carpenter,Kilimanjaro,A lot of milk,Three spoonfuls of sugar,Modern,K.K. Mambo,"https://vignette.wikia.nocookie.net/animalcrossing/images/e/eb/Hugh_NewLeaf_Official.png/revision/latest?cb=20130721192027""",hugh
Iggly,Male,Jock,Penguin,November 2,waddler,Bunting,Baseball player,Mocha,Lots of milk,Three spoonfuls of sugar,Basic,K.K. March,"https://vignette.wikia.nocookie.net/animalcrossing/images/0/06/Iggly_NewLeaf_Official.png/revision/latest?cb=20130721192205""",iggly
Ike,Male,Cranky,Bear,May 16,roadie,Doing chin ups,Carpenter,Mocha,No milk,No sugar,jacket (NH) Rock n' roll,K.K. Rock,"https://vignette.wikia.nocookie.net/animalcrossing/images/b/bf/Ike_HHD.png/revision/latest?cb=20180518170322""",ike
JacobNAJakeyPAL,Male,Lazy,Bird,August 24,chuuuuurp,Staying up late,Poet,Mocha,A little bit of milk,1 spoonful of sugar,,K.K. Song,"https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/Jacob_NL.png/revision/latest?cb=20161228214704""",jacobnajakeypal
Jacques,Male,Smug,Bird,June 22,zut alors,Beat boxing,Singer,Blend,Lots of milk,Three spoonfuls of sugar,Flashy,K.K. House,"https://vignette.wikia.nocookie.net/animalcrossing/images/f/f2/Jacques_HD.png/revision/latest?cb=20180613022125""",jacques
Jambette,Female,Normal,Frog,October 27,croak-kay,Ventriloquism,Artist,Mocha,Just a little bit of milk,One spoonful of sugar,Modern,K.K. Country,"https://vignette.wikia.nocookie.net/animalcrossing/images/d/d8/Jambette_NewHorizons.png/revision/latest?cb=20200407191622""",jambette
Jay,Male,Jock,Bird,July 17,heeeeeyy,Tongue Twisters,Race car driver,Killimanjaro,No Milk,No Sugar,Sporty,K.K. Waltz,"https://vignette.wikia.nocookie.net/animalcrossing/images/f/f4/Jay_NewLeaf_Official.png/revision/latest?cb=20130721212323""",jay
Jeremiah,Male,Lazy,Frog,July 8,nee-deep,Hitting snooze,Writer,Kilimanjaro,No Milk,No Sugar,Basic,K.K. Mambo,"https://vignette.wikia.nocookie.net/animalcrossing/images/e/e7/Jeremiah_NewLeaf_Official.png/revision/latest?cb=20130818040721""",jeremiah
Jitters,Male,Jock,Bird,February 2,bzzert,Playing catch,Soccer player,Kilimanjaro,No Milk,No Sugar,Sporty,K.K. Samba,"https://vignette.wikia.nocookie.net/animalcrossing/images/8/8d/Jitters_NL.png/revision/latest?cb=20131006041145""",jitters
Joey,Male,Lazy,Duck,January 3,bleeeeeck,Blowing bubbles,Sumo wrestler,Blend,Home request A spa featuring cool milk,No Sugar,Basic,K.K. Calypso,"https://vignette.wikia.nocookie.net/animalcrossing/images/7/72/Joey_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708040004""",joey
Judy,Female,Snooty,Cub,March 10,myohmy,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,K.K. Lullaby,"https://vignette.wikia.nocookie.net/animalcrossing/images/d/d4/Judy_NH.png/revision/latest?cb=20200318005830""",judy
Julia,Female,Snooty,Ostrich,July 31,dahling,Computing,CEO,Blue Mountain,Lots of milk,3 spoonfuls of sugar,,K.K. Sonata,"https://vignette.wikia.nocookie.net/animalcrossing/images/4/42/Julia_NH.png/revision/latest?cb=20200308185019""",julia
Julian,Male,Smug,Horse,March 15,glitter,Speed reader,Designer,Kilimanjaro,No milk,No sugar,Ornate,Stale Cupcakes,"https://vignette.wikia.nocookie.net/animalcrossing/images/0/00/Julian_HD.png/revision/latest?cb=20180405151710""",julian
June,Female,Normal,Cub,May 21,rainbow,Photography,Pharmacist NL,Blue Mountain,No milk,No sugar,,K.K. Aria,"https://vignette.wikia.nocookie.net/animalcrossing/images/1/16/June_HD.png/revision/latest?cb=20180410103444""",june
Kabuki,Male,Cranky,Cat,November 29,meooo-OH,Drawing circles,Actor,Blue Mountain,The regular amount of milk,Two spoonfuls of sugar,Historical,K.K. Folk,"https://vignette.wikia.nocookie.net/animalcrossing/images/5/5b/Kabuki_NewLeaf_Official.png/revision/latest?cb=20130818041028""",kabuki
Katt,Female,Sisterly,Cat,April 27,purrty,Playing old maid,Swimmer,Kilimanjaro,No Milk,No Sugar,Rock 'n' roll,Surfin' K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/6/68/Katt_HD.png/revision/latest?cb=20180404115701""",katt
Keaton,Male,Smug,Eagle,June 1,wingo,Tongue twisters,Musician,Blend,No Milk,No Sugar,Flashy,K.K. Moody,"https://vignette.wikia.nocookie.net/animalcrossing/images/3/3b/Keaton_NH.png/revision/latest?cb=20200226233737""",keaton
Ken,Male,Smug,Chicken,December 23,no doubt,Clearing their plate,Architect,Blue Mountain,The regular amount of milk,Two spoonfuls of sugar,Iconic,Comrade K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/d/d0/Ken_NewLeaf_Official.png/revision/latest?cb=20130721192335""",ken
Ketchup,Female,Peppy,Duck,July 27,bitty,Chopping vegetables,Singer,Kilimanjaro,a little bit of milk,1 spoonful of sugar,,Neapolitan,"https://vignette.wikia.nocookie.net/animalcrossing/images/a/a3/Ketchup_HD.png/revision/latest?cb=20180404120537""",ketchup
Kevin,Male,Jock,Pig,April 26,weeweewee,Whistling,Sumo wrestler,Mocha,No milk,No sugar,Sporty,K.K. Island,"https://vignette.wikia.nocookie.net/animalcrossing/images/7/71/Kevin_NH.png/revision/latest?cb=20200402024235""",kevin
Kid Cat,Male,Jock,Cat,August 1,psst,Sprinting,Superhero,Blue Mountain,The regular amount of milk,Two spoonfuls of sugar,Sporty,Go K.K. Rider!,"https://vignette.wikia.nocookie.net/animalcrossing/images/c/c3/-Kid_Cat_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708010443""",kidcat
Kidd,Male,Smug,Goat,June 28,wut,Blowing bubbles,Hair stylist,Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar,Official,Comrade K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/c/c5/Kidd_HHD.png/revision/latest?cb=20161213013210""",kidd
Kiki,Female,Normal,Cat,October 8,kitty cat,Fishing,Writer,Mocha,Just a little bit of milk,One spoonful of sugar,Basic,K.K. Country,"https://vignette.wikia.nocookie.net/animalcrossing/images/4/4b/Kiki_NL.png/revision/latest?cb=20130708021703""",kiki
